@id,name,name:ar,network,network:wikidata,operator,operator:wikidata,public_transport,railway,tram,lon,lat,alt_name:ft,alt_name:ar,alt_name:fr,name:fr,name:de,name:en,source,name:it,shelter,amenity,operator:fr,wikidata,wikipedia,@geometry,addr:city,addr:city:fr,building,old_name,old_name:fr,addr:postcode,layer,toilets:wheelchair,wheelchair,addr:housenumber,addr:street,addr:street:fr,barrier,denomination,operator:wikipedia,phone,website,addr:suburb,description,alt_name,check_date,opening_hours,religion,name:ber,name:kab,note,residential,landuse,old_name:ar,short_name,addr:country,email,wikimedia_commons,addr:state,contact:facebook,contact:twitter,contact:youtube,fax,name:pt,official_name:kab,old_short_name,addr:city:ar,name:es,facebook,alt_name:en,contact:email,contact:website,material,name:fa,short_name:fr
node/3513729802,Tripoli - Mosquée,طرابلس - المسجد,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.0974281,36.7432855,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3516056360,La Glacière,,ترامواي الجزائر,Q1688502,,Q22688489,,tram_stop,,3.1245081,36.7326143,,,,La Glacière,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3694495396,Cité Diplomatique,الحي الدبلوماسي,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2593565,36.7739566,,,,Cité Diplomatique,,,local knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3694495400,Dergana Centre,درڨانة وسط,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2603056,36.7719729,,,,Dergana Centre,,Dergana Center,local knowledge,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/3694495413,Faculté Biomédicale,,,,SETRAM,,stop_position,tram_stop,yes,3.2588623,36.7777007,,,,,,,local knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4377305014,Cité Diplomatique,,,,SETRAM,,stop_position,tram_stop,yes,3.2593988,36.7739474,,,,Cité Diplomatique,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4377305015,Dergana Centre,درڨانة وسط,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2603157,36.772017,,,,Dergana Centre,,Dergana Center,local knowledge,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/4377305016,Faculté Biomédicale,,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2588343,36.7777363,,,,,,,local knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/7301592854,Ruisseau,الرويسو,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.0834355,36.7429185,,رويسو,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/8292893940,Ben Redouan,بن رضوان,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2242157,36.7554384,,,,Ben Redouan,,Ben Redouan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node/8292893942,Ben Redouan,بن رضوان,ترامواي الجزائر,Q1688502,SETRAM,Q22688489,stop_position,tram_stop,yes,3.2242171,36.7554099,,,,Ben Redouan,,Ben Redouan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/26300097,Université d'Alger 2,جامعة الجزائر 2 أبو القاسم سعد الله,,,Université d'Alger,,,,,3.0038278,36.7761085,,,,Université d'Alger 2,Universität Algier 2,University of Algiers II,,,,university,Université d'Alger,Q29901623,fr:Université d'Alger 2,center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/26321836,École nationale supérieure en Sciences et Technologie du Sport,المدرسة الوطنية العليا في علوم وتكنولوجيا الرياضة,,,,,,,,3.0006747,36.7663692,,,,École nationale supérieure en Sciences et Technologie du Sport,,,,,,college,,,,center,Dély Brahim,Dély Brahim,college,Institut des Sciences et Technologies du Sport,Institut des Sciences et Technologies du Sport,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/29079838,Faculté de Medecine Mohamed Maherzi ( ex LAPERRINE ),كلية الطب دائرة الطب الشهيد محمد محرزي,,,,,,,,3.0519957,36.7581529,,,,,,,,,,university,,,,center,ALGER,,,,,16000,-2,yes,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/29082561,La Faculté centrale,الجامعة المركزية,,,Université d'Alger,Q1190852,,,,3.0554656,36.7710859,,,,La Faculté centrale,,,,,,university,Université d'Alger,Q1190852,fr:Université d'Alger Benyoucef-Benkhedda,center,Alger-Centre,Alger-Centre,,,,16000,,,,2,Rue Didouche Mourad,Rue Didouche Mourad,wall,Draa Ben Khedda,fr:Université d'Alger Benyoucef-Benkhedda,+21321637765,http://www.univ-alger.dz/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way/29190325,Faculté de Médecine Ziania,كلية الطب الزيانية,,,,,,,,3.0168953,36.7668419,,,,Faculté de Médecine Ziania,,Faculty of Medicine Ziania,,,,university,,,,center,Ben Aknoun,,,,,,,,,,Rue Lieutenant Mohamed Benarfa,,,,,,,Ben Aknoun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
